,Crop,N,P,K,PH
0,rice,80.0,40.0,40.0,5.5
1,maize,80.0,40.0,20.0,5.5
2,chickpea,40.0,60.0,80.0,5.5
3,kidneybeans,20.0,60.0,20.0,5.5
4,pigeonpeas,20.0,60.0,20.0,5.5
5,mothbeans,20.0,40.0,20.0,5.5
6,mungbean,20.0,40.0,20.0,5.5
7,blackgram,40.0,60.0,20.0,5.0
8,lentil,20.0,60.0,20.0,5.5
9,pomegranate,20.0,10.0,40.0,5.5
10,banana,100.0,75.0,50.0,6.5
11,mango,20.0,20.0,30.0,5.0
12,grapes,20.0,125.0,200.0,4.0
13,watermelon,100.0,10.0,50.0,5.5
14,muskmelon,100.0,10.0,50.0,5.5
15,apple,20.0,125.0,200.0,6.5
16,orange,20.0,10.0,10.0,4.0
17,papaya,50.0,50.0,50.0,6.0
18,coconut,20.0,10.0,30.0,5.0
19,cotton,120.0,40.0,20.0,5.5
20,jute,80.0,40.0,40.0,5.5
21,coffee,100.0,20.0,30.0,5.5
